Title,Creator,AgeRecommendation,Active,Favorites,Visits,VoiceChat,Camera,Created,Updated,ServerSize,Genre,Likes,Dislikes,YearsSinceCreation,Ratio_Likes,Ratio_Dislikes
Glow Up Tycoon 🌟,Monthly Productions,All Ages,181,10754,1900000.0,0,0,2024-07-23,2024-11-09,6,Simulation,16000.0,1283.0,0,0.9257652028004397,0.07423479719956028
Go Flying!,How far can you...,All Ages,564,45354,37400000.0,0,0,2023-08-04,2024-10-17,25,Simulation,71000.0,1989.0,1,0.9727493183904424,0.02725068160955757
Good Girls Sorority,fentyduh,All Ages,1216,1578356,645100000.0,0,0,2016-05-26,2021-09-26,20,Roleplay & Avatar Sim,203000.0,52000.0,5,0.796078431372549,0.20392156862745103
Goofy Gods ⚡️,Absolute Zero!,Ages 9+,778,114752,69600000.0,0,0,2023-05-10,2024-10-10,14,Survival,42000.0,8387.0,1,0.8335483358802865,0.16645166411971346
Grab! [2 Player Obby],Metavoxel Studios,All Ages,393,148088,7400000.0,0,0,2024-08-14,2024-11-13,26,Simulation,2036.0,747.0,0,0.7315846209126842,0.26841537908731583
Grandma [HORROR],Astra's Army,All Ages,124,209014,32500000.0,0,0,2023-04-16,2024-10-06,10,Survival,26000.0,15000.0,1,0.6341463414634146,0.36585365853658536
Gravity [2 Player Obby],Badass Experiences,All Ages,433,3377522,87600000.0,0,0,2023-06-11,2024-11-09,24,Obby & Platformer,110000.0,8445.0,1,0.9287010848917219,0.07129891510827813
Guerra de Torres,elgaga,Ages 9+,935,416590,286400000.0,0,0,2018-11-10,2024-11-08,8,Action,106000.0,36000.0,6,0.7464788732394366,0.2535211267605634
Guess Basketball Players or Die,TravelStudio,All Ages,4,31,51600.0,0,0,2024-09-27,2024-10-31,8,Simulation,17.0,14.0,0,0.5483870967741935,0.4516129032258065
Guess Football Players,TravelStudio,All Ages,265,3277,6500000.0,0,0,2024-07-17,2024-11-05,8,Simulation,711.0,590.0,0,0.5465026902382782,0.45349730976172176
Guess the drawing!,GFSFF,All Ages,1269,702462,251900000.0,0,0,2019-06-09,2024-09-14,10,Party & Casual,111000.0,24000.0,5,0.8222222222222222,0.1777777777777778
Guess the Logo Quiz for Admin,Rabbit02,All Ages,456,10080079,72400000.0,0,0,2023-12-21,2024-10-18,40,Party & Casual,18000.0,4549.0,1,0.7982615637057076,0.20173843629429244
H2O Mermaid Testing,ThatPreston,Ages 9+,902,415157,482300000.0,0,0,2020-10-22,2023-05-13,20,Roleplay & Avatar Sim,50000.0,15000.0,3,0.7692307692307693,0.23076923076923073
Halloween [ Part 1 ]  Friday Night Partying,Party-Central,Ages 9+,1521,137736,54000000.0,0,0,2023-01-09,2024-11-12,16,Action,51000.0,5988.0,1,0.8949252474205096,0.1050747525794904
Halloween Obby!,Epicbox Games,All Ages,352,3051476,17500000.0,0,0,2024-07-30,2024-11-02,15,Obby & Platformer,2388.0,1204.0,0,0.6648106904231625,0.33518930957683746
Happy Land 🏡RP,MakeHappy,All Ages,1058,236630,530700000.00000006,0,0,2021-04-23,2024-11-04,18,Roleplay & Avatar Sim,38000.0,20000.0,3,0.6551724137931034,0.3448275862068966
